20151101
67         BAS RHIN                      
LIEU-DIT   INNENHEIMERWEG             
LIEU-DIT   KLOSTERMATTEN              
LIEU-DIT   KLOSTERMAUER               
LIEU-DIT   LANGE STRAENG              
LIEU-DIT   LERCHENBERG                
LIEU-DIT   LINKS GRIESHEIMERWEG       
LIEU-DIT   LINKS ZIEGELPFAD           
LIEU-DIT   NACHTWEID                  
LIEU-DIT   NEUNZEHN AECKER            
LIEU-DIT   NIEDERMATTEN               
LIEU-DIT   OBERMATT                   
LIEU-DIT   OSTERLAENG                 
LIEU-DIT   QUERAECKER                 
LIEU-DIT   RECHTS ZIEGELPFAD          
LIEU-DIT   SCHAEFERSBREIT             
LIEU-DIT   SCHELMENGRUEN              
LIEU-DIT   SCHLANGENWAELDEL           
LIEU-DIT   SCHLITTWEG                 
LIEU-DIT   SCHLUPFEL                  
LIEU-DIT   UBER DIE LANDSTRASSE       
LIEU-DIT   VIEHWEG                    
LIEU-DIT   VIER AECKER                
LIEU-DIT   VILLAGE                    
LIEU-DIT   WECKERLES BRUNNEN          
LIEU-DIT   WESSELSGRABEN              
LIEU-DIT   WINKEL                     
LIEU-DIT   ZIEGELPFAD                 
LIEU-DIT   ZWOELF ACKER               
LIEU-DIT   ZWOELF AECKER              
LIEU-DIT   AUFS INNENHEIMERFELD       
LIEU-DIT   BODEN                      
LIEU-DIT   RUHBUEHL                   
LIEU-DIT   CDN 127                    
LIEU-DIT   FERME DE LA BLIETH         
LIEU-DIT   FERME FORSTHOF             
AUTOROUTE  AUTOROUTE                  
CRS        DE LA DIME                 
RUE        D ALTORF                   
RUE        ARTHUR RIMBAUD             
RUE        DES AUBEPINES              
IMPASSE    DES BAINS                  
RUE        DES BAINS                  
RUE        BLERIOT                    
CHEMIN     DE LA BLIETH               
RUE        DE LA CHAPELLE             
IMPASSE    DU COIN AIGU               
RUE        DU COUVENT                 
RUE        DE DACHSTEIN               
CRS        DE LA DIME                 
RUE        GEORGES GUYNEMER           
PLACE      DES EGLANTINES             
ROUTE      DE GRIESHEIM               
RUE        DE LA GANSWEID             
RUE        GEORGE SAND                
RUE        DE LA HARDT                
PLACE      DE LA KRUTENAU             
RUE        D INNENHEIM                
CHEMIN     D ' INNENHEIM              
RUE        JACQUELINE AURIOL          
RUE        LINDBERG                   
RUE        DU MAIRE MEPPIEL           
RUE        MARCEL DASSAULT            
IMPASSE    DE LA MARNE                
RUE        DU MENHIR                  
RUE        DES MEUNIERS               
RUE        DE LA NACHTWEID            
RUE        DES PLATANES               
RUE        DES PRES                   
RUE        PRINCIPALE                 
ROUTE      DES ROMAINS                
CHEMIN     DE ROSHEIM                 
PLACE      SAINT CYRIAQUE             
ROUTE      DE STRASBOURG              
IMPASSE    DES TAILLEURS              
RUE        VICTOR HUGO                
           commune :     ALTWILLER                      departement : BAS RHIN                      
LIEU-DIT   BOESCH                     
LIEU-DIT   ALTE BOESCH AUF DIE ETZEL  
LIEU-DIT   ALTE BOESCH AUF GRUNSCHER  
LIEU-DIT   ALTE BOESCH AUF STEIGMATTE 
LIEU-DIT   ALTE NACHTWEIDE            
LIEU-DIT   ALTMATTE                   
LIEU-DIT   BLAUBERG                   
LIEU-DIT   GRUNSCHERBERG              
LIEU-DIT   AM REBBERG AUF DAS DORF    
LIEU-DIT   AM VORDERSTEN CHAMP DU GUE 
LIEU-DIT   AUF DEM BLAUBERG           
LIEU-DIT   ENGELGRABEN                
LIEU-DIT   AUF DEN HINSINGER WEG      
LIEU-DIT   FLACHSROES                 
LIEU-DIT   HANFROES                   
LIEU-DIT   HASENWEIDE                 
LIEU-DIT   HOEHE                      
LIEU-DIT   KALKLACHE                  
LIEU-DIT   AUF DIE ALTE NACHTWEIDE    
LIEU-DIT   AUF DIE KOHLPLAETZE        
LIEU-DIT   AUF DIE KREUZWIESE         
LIEU-DIT   STANGEN                    
LIEU-DIT   AUF DIE STEIGMATTE         
LIEU-DIT   AUF HANS THIEBOLDS MATTE   
LIEU-DIT   AUF HINTERSTEN GRAND DRISC 
LIEU-DIT   AUF MITTELSTEN CHAMP DU GU 
LIEU-DIT   AUF VORDERSTEN CHAMP DU GU 
LIEU-DIT   SCHULMATTE                 
LIEU-DIT   BEI DER WELSCHBRUECKE      
LIEU-DIT   BEIM MAY                   
LIEU-DIT   LA BLANCHE                 
LIEU-DIT   BONNE FONTAINE             
LIEU-DIT   BREBBUR                    
LIEU-DIT   EMSENHUEBEL                
LIEU-DIT   FROESCHEFELD               
